segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
hour,3,0.03967899761336516,0.11899665064177989,10.139423501770665,8.8206855216353,1676,2,baseline_lag1
hour,4,0.039124691358024696,0.1522572952295465,9.183868635888997,8.067174325361165,1620,2,baseline_lag1
hour,5,0.036448148148148146,0.10733925679537154,10.18017424264854,8.709138997283764,1620,2,baseline_lag1
hour,6,0.0677604938271605,0.18028520614724758,10.092572471795842,9.827381402176965,1620,2,baseline_lag1
hour,7,0.11863456790123456,0.2650436255728293,8.916167015514146,8.209213581321535,1620,2,baseline_lag1
hour,8,0.06444074074074073,0.17494664442355481,5.299757045531208,4.961046727048061,1620,2,baseline_lag1
hour,9,0.06839876543209876,0.2108863774584097,9.040015049255603,7.179071477603374,1620,2,baseline_lag1
hour,10,0.09203086419753087,0.2546863042651625,11.142616637549025,9.910139656682206,1620,2,baseline_lag1
hour,11,0.08950246913580245,0.24283694168497838,10.827248857977333,9.649585524493654,1620,2,baseline_lag1
hour,12,0.1341716049382716,0.3363276070429831,14.435203449758438,12.11261215992671,1620,2,baseline_lag1
